Author,Pub_Year,English_Name,Life_stage,Life_stage_category,Response_variable,response_type,unique_study,treatment_var,rate_or_biomass,response_type_2,term,estimate,std.error,statistic,p.value,mean_estimate,se_estimate,replicate
Thom,1996,seagrass,Adult,adult or juvenile,oxygen flux,metabolic rate,109,CO2,rate,consumption,treat_value,5.867260529863983e-4,1.2039689313929823e-4,4.8732657271110895,6.388548278138593e-5,5.867260529863983e-4,1.2039689313929823e-4,NA
Zimmerman et al,1989,seagrass,Adult,adult or juvenile,net photosynthesis,metabolic rate,120,temperature,rate,ability_productivity_growth_survival,(Intercept),0.3163772612114632,0.15588966012637412,2.0294948424096093,0.13540991988965553,0.3163772612114632,0.15588966012637412,NA
Zimmerman et al,1989,seagrass,Adult,adult or juvenile,net photosynthesis,metabolic rate,120,temperature,rate,ability_productivity_growth_survival,treat_value,0.018236654886426635,0.008047090369650872,2.2662420885945442,0.10829990078023073,0.018236654886426635,0.008047090369650872,NA
Zimmerman et al,1989,seagrass,Adult,adult or juvenile,respiration rate,metabolic rate,121,oxygen,rate,consumption,(Intercept),0.03314546011118883,0.025883581196529195,1.2805592803994759,0.2903782365403411,0.03314546011118883,0.025883581196529195,NA
Zimmerman et al,1989,seagrass,Adult,adult or juvenile,respiration rate,metabolic rate,121,oxygen,rate,consumption,treat_value,0.05579925714898438,0.004016677145151619,13.891894999909958,8.075019506099991e-4,0.05579925714898438,0.004016677145151619,NA
Bernatis et al,2007,Dungeness crab,1+ juvenile,adult or juvenile,food consumped,consumption,1,oxygen,rate,consumption,(Intercept),0.3163299660694284,0.030979238038724162,10.211031196894346,7.342523431067764e-19,0.3161727008210041,0.007884456624472829,1
Bernatis et al,2007,Dungeness crab,1+ juvenile,adult or juvenile,food consumped,consumption,1,oxygen,rate,consumption,treat_value,0.09598435203642368,0.008325982341617764,11.528291569469461,2.4087195936346554e-22,0.09473618984759159,0.0026334589035307433,1
Boehlert and Yoklavich,1983,blue & black rockfish,NA,adult or juvenile,percent growth,growth,2,temperature,biomass,ability_productivity_growth_survival,(Intercept),-0.19250040587360343,0.0251293416273754,-7.660383973764651,2.523518239699762e-10,-0.19674666645614178,0.019461104962123013,1
Boehlert and Yoklavich,1983,blue & black rockfish,NA,adult or juvenile,percent growth,growth,2,temperature,biomass,ability_productivity_growth_survival,treat_value,0.06700093567860749,0.001911578789048828,35.050051853706805,2.9202865195879964e-40,0.06764522706082021,0.0017477092410585822,1
Britsch,2017,Ochre star,Juvenile,adult or juvenile,growth_rate,growth,3,pH,biomass,ability_productivity_growth_survival,(Intercept),-0.6876450249833677,4.2234553313040335,-0.1628157447023479,0.8712294644603225,-5.276903023504354,5.042300609590803,1
Britsch,2017,Ochre star,Juvenile,adult or juvenile,growth_rate,growth,3,pH,biomass,ability_productivity_growth_survival,treat_value,0.1900367567816476,0.5455344938093648,0.348349662465258,0.7288388689671412,0.7934180312539213,0.6522121963108354,1
Brown and  Terwilliger,1999,Dungeness crab,1st juvenile,propagule,oxygen consumption,metabolic rate,4,salinity,rate,consumption,(Intercept),1.5621671363068148,0.17383761066721592,8.986358765004725,1.8489538248315534e-8,1.5452619779635073,0.1266577162304546,1
Brown and  Terwilliger,1999,Dungeness crab,1st juvenile,propagule,oxygen consumption,metabolic rate,4,salinity,rate,consumption,treat_value,-0.027850635015898656,0.006069327092071142,-4.58875170070867,1.7793887223871644e-4,-0.025921528871929667,0.004976326002643341,1
Brown and  Terwilliger,1999,Dungeness crab,1st juvenile,propagule,oxygen consumption,metabolic rate,5,temperature,rate,consumption,(Intercept),-0.45895807285114043,0.027549805653678334,-16.659212722608164,3.425298171766753e-13,-0.51196402209947,0.02788670390312646,1
Brown and  Terwilliger,1999,Dungeness crab,1st juvenile,propagule,oxygen consumption,metabolic rate,5,temperature,rate,consumption,treat_value,0.07258550947980527,0.0017919595749121132,40.506220394712436,1.1366752327059315e-20,0.0755742553604025,0.001945281281132186,1
Brown and  Terwilliger,1999,Dungeness crab,5th juvenile,adult or juvenile,oxygen consumption,metabolic rate,6,salinity,rate,consumption,(Intercept),-0.01861503292259159,0.44708554347413365,-0.04163640089532122,0.9673765327413176,0.22416488337616075,0.3310527045431447,1
Brown and  Terwilliger,1999,Dungeness crab,5th juvenile,adult or juvenile,oxygen consumption,metabolic rate,6,salinity,rate,consumption,treat_value,0.03416968224812415,0.015806860978051646,2.1616994225210115,0.04844884923710081,0.024227487414486097,0.012881216964423896,1
Brown and  Terwilliger,1999,Dungeness crab,5th juvenile,adult or juvenile,oxygen consumption,metabolic rate,7,temperature,rate,consumption,(Intercept),0.2201056400886425,0.07996840382420052,2.7524075705264086,0.017523945198509604,0.29649524580497366,0.1213470823929809,1
Brown and  Terwilliger,1999,Dungeness crab,5th juvenile,adult or juvenile,oxygen consumption,metabolic rate,7,temperature,rate,consumption,treat_value,0.04031191276120535,0.005289412731540531,7.62124545903314,6.155629722974199e-6,0.035186276280659706,0.006456763649595708,1
Brown and  Terwilliger,1999,Dungeness crab,Adult,adult or juvenile,oxygen consumption,metabolic rate,8,salinity,rate,consumption,(Intercept),0.6014051442728284,0.23619895858078135,2.546180338331782,0.043715093774556776,0.2720348793754858,0.42190827522560526,1
Brown and  Terwilliger,1999,Dungeness crab,Adult,adult or juvenile,oxygen consumption,metabolic rate,8,salinity,rate,consumption,treat_value,0.01318392339442027,0.00835089426608355,1.5787439014724036,0.1654729045358325,0.022829024065465473,0.014475285048537845,1
Brown and  Terwilliger,1999,Dungeness crab,Adult,adult or juvenile,oxygen consumption,metabolic rate,9,temperature,rate,consumption,(Intercept),-0.02289483740021218,0.08226887677132308,-0.2782928161745945,0.790129414289745,-0.0645277872896325,0.1052112289845217,1
Brown and  Terwilliger,1999,Dungeness crab,Adult,adult or juvenile,oxygen consumption,metabolic rate,9,temperature,rate,consumption,treat_value,0.054255904964719465,0.005203140622822005,10.427530005001657,4.5597462927503044e-5,0.05308851470808473,0.008902898198270406,1
Brown and  Terwilliger,1999,Dungeness crab,megalopa,propagule,oxygen consumption,metabolic rate,10,salinity,rate,consumption,(Intercept),1.2101805765391642,0.15458227416641107,7.828715052001236,3.33086539778926e-7,1.1984888096283444,0.11257707021431408,1
Brown and  Terwilliger,1999,Dungeness crab,megalopa,propagule,oxygen consumption,metabolic rate,10,salinity,rate,consumption,treat_value,-0.008424856938604673,0.005465308715715367,-1.54151528794324,0.14058817466562598,-0.008246844510436165,0.004391508633729486,1
Brown and  Terwilliger,1999,Dungeness crab,megalopa,propagule,oxygen consumption,metabolic rate,11,temperature,rate,consumption,(Intercept),0.14929308068895294,0.05486751807594499,2.7209738279451354,0.0145244059654596,0.18196827149830966,0.052558243804699,1
Brown and  Terwilliger,1999,Dungeness crab,megalopa,propagule,oxygen consumption,metabolic rate,11,temperature,rate,consumption,treat_value,0.040598751501698824,0.003526250818980806,11.51329091032529,1.8907430984335575e-9,0.04093220839460223,0.003942653682188482,1
Brown et al,2014,Canopy-forming Kelp,Adult,adult or juvenile,carbon uptake rate as photosynthesis,metabolic rate,12,CO2,rate,ability_productivity_growth_survival,(Intercept),0.426932545312376,0.23569372284556414,1.8113869990170215,0.14431438890838344,0.6228467082426239,0.18027943883081413,1
Brown et al,2014,Canopy-forming Kelp,Adult,adult or juvenile,carbon uptake rate as photosynthesis,metabolic rate,12,CO2,rate,ability_productivity_growth_survival,treat_value,3.416484942190688e-4,2.1081087446107058e-4,1.6206398037695127,0.1804110366533703,2.5356350855310967e-4,1.5394942184191986e-4,1
Brown et al,2014,Canopy-forming Kelp,Adult,adult or juvenile,carbon uptake rate as photosynthesis,metabolic rate,13,temperature,rate,ability_productivity_growth_survival,(Intercept),2.1886593458048003,0.5440414834324018,4.022964079864593,0.015825501089051595,2.576127733045106,0.7817098342185135,1
Brown et al,2014,Canopy-forming Kelp,Adult,adult or juvenile,carbon uptake rate as photosynthesis,metabolic rate,13,temperature,rate,ability_productivity_growth_survival,treat_value,-0.10288551131140401,0.04005288750897564,-2.5687414244066153,0.06206132191933121,-0.1311712830243318,0.05260855119380532,1
Brown et al,2014,Canopy-forming Kelp,Adult,adult or juvenile,size at 4 weeks,growth,14,CO2,biomass,ability_productivity_growth_survival,(Intercept),1.0426443198182058,0.06569141316582257,15.87185097063287,9.209464321732789e-5,1.0136532391131021,0.05466426783901388,1
Brown et al,2014,Canopy-forming Kelp,Adult,adult or juvenile,size at 4 weeks,growth,14,CO2,biomass,ability_productivity_growth_survival,treat_value,-4.975113480249705e-5,5.8756186150721564e-5,-0.8467386680761626,0.44482692283568687,-2.9293548287796196e-5,5.616979860724253e-5,1
Brown et al,2014,Canopy-forming Kelp,Adult,adult or juvenile,size at 4 weeks,growth,15,temperature,biomass,ability_productivity_growth_survival,(Intercept),3.1035958074661743,0.21067160531682155,14.731913220098107,1.235635781188771e-4,2.6224459567453633,0.22852259964789082,1
Brown et al,2014,Canopy-forming Kelp,Adult,adult or juvenile,size at 4 weeks,growth,15,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.17154366769239,0.015509857917182904,-11.06029910837171,3.7999595118994717e-4,-0.13524192582234382,0.01740064139920854,1
Christmas,2013,Dungeness crab,Larvae,propagule,feeding_rate,consumption,16,CO2,rate,consumption,(Intercept),1.19485780551573,0.025066754594613053,47.66703248343564,1.319165967721613e-69,1.1861081186562585,0.024504559235032114,1
Christmas,2013,Dungeness crab,Larvae,propagule,feeding_rate,consumption,16,CO2,rate,consumption,treat_value,-3.796597592666625e-4,3.086677123385581e-5,-12.299950532248662,1.3884833642549316e-21,-3.677891811319745e-4,3.0190655777229978e-5,1
Christmas,2013,Dungeness crab,Larvae,propagule,swimming_speed,movement,17,CO2,rate,activity_speed,(Intercept),0.16234543056453452,0.06824244158337343,2.3789510867103605,0.020733943948812575,0.16840715647654309,0.06883899446466511,1
Christmas,2013,Dungeness crab,Larvae,propagule,swimming_speed,movement,17,CO2,rate,activity_speed,treat_value,8.194595747864167e-4,8.447165586964089e-5,9.701000487678737,1.1303142072870906e-13,8.070415658009571e-4,9.367008199662358e-5,1
Christmas,2013,Dungeness crab,Larvae,propagule,turning_frequency,movement,18,CO2,rate,activity_speed,(Intercept),0.12436353341441521,0.04679166655430001,2.6578137213833983,0.010187726121606289,0.19156255250806292,0.04512480775605555,1
Christmas,2013,Dungeness crab,Larvae,propagule,turning_frequency,movement,18,CO2,rate,activity_speed,treat_value,8.609332281939496e-4,5.791952138630424e-5,14.864301492614327,2.8810551682935113e-21,7.854429522404385e-4,6.267242869841357e-5,1
Cook et al,2017,sablefish,larvae,propagule,prey strike rate,consumption,20,temperature,NA,ability_productivity_growth_survival,(Intercept),-1.4451997245666999,0.4889629557579506,-2.9556425646324653,0.021236014501154716,-1.0531545494372856,0.27656789452058256,1
Cook et al,2017,sablefish,larvae,propagule,prey strike rate,consumption,20,temperature,NA,ability_productivity_growth_survival,treat_value,0.15194034995196246,0.03217140055134821,4.722839147442559,0.0021504189409380517,0.11510477180522162,0.020075996763144706,1
Cook et al,2017,sablefish,larvae,propagule,survival,survival,21,temperature,NA,ability_productivity_growth_survival,(Intercept),1.1388923216461688,0.6122606732155547,1.8601428631121737,0.10518940849728782,1.0565646685308638,0.27606921753927355,1
Cook et al,2017,sablefish,larvae,propagule,survival,survival,21,temperature,NA,ability_productivity_growth_survival,treat_value,-0.03298495778695216,0.04028379476993834,-0.8188145624147376,0.43987399699357455,-0.022973851845411446,0.017853674152203246,1
Cook et al,2017,sablefish,larvae,propagule,weight-based specific growth rate,growth,22,temperature,NA,ability_productivity_growth_survival,(Intercept),-0.13378791345193367,0.07305345222544844,-1.831370173158335,0.10972473124281154,-0.0014190056986663469,0.06581540166373123,1
Cook et al,2017,sablefish,larvae,propagule,weight-based specific growth rate,growth,22,temperature,NA,ability_productivity_growth_survival,treat_value,0.06525678512041468,0.0048065642714396305,13.576596802869629,2.7660396804428943e-6,0.05531121955938751,0.004902550034632113,1
Cullen et al.,2019,Canopy-forming Kelp,propagule,adult or juvenile,sporophyte_density,survival,23,temperature,biomass,ability_productivity_growth_survival,(Intercept),2.957640925515192,0.33956767609980937,8.710019043879344,3.463039903876366e-9,2.7150279448477295,0.27073411798304486,1
Cullen et al.,2019,Canopy-forming Kelp,propagule,adult or juvenile,sporophyte_density,survival,23,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.15798859783659697,0.022198233418183107,-7.117169860336035,1.473270559635769e-7,-0.14584489840814235,0.01531509335885255,1
Davison et al,1991,Canopy-forming Kelp,Adult,adult or juvenile,photosynthesis,metabolic rate,24,temperature,rate,ability_productivity_growth_survival,(Intercept),0.4897157052586136,0.04262037288745938,11.490178806077681,4.119472524807515e-12,0.5164849737354362,0.03014462256292223,1
Davison et al,1991,Canopy-forming Kelp,Adult,adult or juvenile,photosynthesis,metabolic rate,24,temperature,rate,ability_productivity_growth_survival,treat_value,0.024474872432349203,0.0024955935005979185,9.80723520336356,1.4765267797461746e-10,0.02157401356502009,0.0015821705939140125,1
Davison et al,1991,Canopy-forming Kelp,Adult,adult or juvenile,respiration rate,metabolic rate,25,temperature,rate,consumption,(Intercept),0.2520427381194582,0.04600874232645017,5.47814883378284,7.518253662033118e-6,0.2901308315988091,0.0317096469215198,1
Davison et al,1991,Canopy-forming Kelp,Adult,adult or juvenile,respiration rate,metabolic rate,25,temperature,rate,consumption,treat_value,0.02471585842471112,0.0023627908831002366,10.460451071438555,3.530155960428341e-11,0.02239454556268558,0.0014590774548780244,1
Descoteaux,2014,Dungeness crab,Larvae,propagule,size,growth,26,pH,biomass,ability_productivity_growth_survival,(Intercept),-7.656683381394452,3.561205003193065,-2.1500260093224846,0.09797874399388111,-5.873981802305346,4.396781902044963,1
Descoteaux,2014,Dungeness crab,Larvae,propagule,size,growth,26,pH,biomass,ability_productivity_growth_survival,treat_value,1.0664284710629943,0.45774656205625847,2.3297356211097595,0.08027533747872306,0.8547064383808104,0.561596708737758,1
Eerkes-Medrano,2013,Ochre star,Brachiolaria larva,propagule,survival,survival,27,oxygen,biomass,ability_productivity_growth_survival,(Intercept),1.0015328413391031,0.004615635947414692,216.98696620561708,1.0625304530526237e-19,1.0000733712355805,0.004558759116774103,1
Eerkes-Medrano,2013,Ochre star,Brachiolaria larva,propagule,survival,survival,27,oxygen,biomass,ability_productivity_growth_survival,treat_value,-2.1998876010781554e-4,0.0013847210753292433,-0.15886864439866283,0.8769350338565095,-7.295008006978786e-5,0.0013726092989514666,1
Fly et al.,2012,Ochre star,adult,adult or juvenile,Oxygen consumption rate,metabolic rate,28,temperature,rate,ability_productivity_growth_survival,(Intercept),0.06928771853259065,0.042926536790246446,1.6140998951570176,0.10839366099675134,0.06320606581442238,0.011193563261633373,1
Fly et al.,2012,Ochre star,adult,adult or juvenile,Oxygen consumption rate,metabolic rate,28,temperature,rate,ability_productivity_growth_survival,treat_value,0.034772761195818035,0.002513945670982213,13.831946170193932,1.733350110798491e-29,0.035189354931740024,6.594476008798308e-4,1
Friedler,2014,Red urchin,gametes,propagule,fertilization success,survival,29,CO2,biomass,ability_productivity_growth_survival,(Intercept),1.025943947068029,0.02713043758195746,37.815237736906674,1.6363451846911095e-21,1.0313151493013313,0.02191405940491219,1
Friedler,2014,Red urchin,gametes,propagule,fertilization success,survival,29,CO2,biomass,ability_productivity_growth_survival,treat_value,-2.2998565869425527e-4,2.5329368269485566e-5,-9.079802395676811,6.7831468207364625e-9,-2.45260608751082e-4,1.993649439066958e-5,1
Frommel et al,2020,Pink Salmon,juvenile,adult or juvenile,condition index fultons K,growth,30,CO2,biomass,ability_productivity_growth_survival,(Intercept),1.1889991367692516,0.20246142125605285,5.872719500795784,9.956553235009567e-8,0.9776436155585132,0.2161675608900834,1
Frommel et al,2020,Pink Salmon,juvenile,adult or juvenile,condition index fultons K,growth,30,CO2,biomass,ability_productivity_growth_survival,treat_value,-1.2002486908490924e-4,1.640624379510044e-4,-0.7315804311085116,0.4666169796736397,2.266814128122614e-5,1.7534024258202233e-4,1
Gaitan-Espitia et al,2014,Canopy-forming Kelp,Spore,propagule,germination,survival,31,CO2,biomass,ability_productivity_growth_survival,(Intercept),1.0603285830132847,0.01254590928212215,84.51588156501714,5.0243283900123074e-18,1.0482454059474187,0.013154979008728628,1
Gaitan-Espitia et al,2014,Canopy-forming Kelp,Spore,propagule,germination,survival,31,CO2,biomass,ability_productivity_growth_survival,treat_value,-1.276355617141692e-4,9.705786798321688e-6,-13.150460067414604,1.7327196737992344e-8,-1.2863352159468632e-4,1.1494147779364267e-5,1
Gaitan-Espitia et al,2014,Canopy-forming Kelp,Spore,propagule,germination,survival,32,temperature,biomass,ability_productivity_growth_survival,(Intercept),1.7014211175206628,0.07306103370273206,23.287668286262413,2.3438281844190452e-11,1.685265310457145,0.052598217148745366,1
Gaitan-Espitia et al,2014,Canopy-forming Kelp,Spore,propagule,germination,survival,32,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.05401428330168172,0.004653474631813529,-11.607301548914116,6.999978131976017e-8,-0.052719329122509435,0.0035310354028346078,1
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,feeding_rate,consumption,33,CO2,rate,consumption,(Intercept),0.5974844920547842,0.09304324276422712,6.421578551048766,1.221392071292735e-4,0.7099900328675404,0.05796173827141133,1
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,feeding_rate,consumption,33,CO2,rate,consumption,treat_value,5.643781296095083e-4,1.475778700072595e-4,3.8242734468368864,0.004063215079467636,3.727653294500261e-4,1.028737479622125e-4,1
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,feeding_rate,consumption,34,temperature,rate,consumption,(Intercept),-0.2248403125423563,0.050400761091043786,-4.461049945976122,0.0015748673457591953,-0.22366499819430471,0.0870464536953502,1
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,feeding_rate,consumption,34,temperature,rate,consumption,treat_value,0.04345210718054118,0.0036740770903397014,11.826672688711506,8.714983519051331e-7,0.043123093343123864,0.006900862386768906,1
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,relative growth,growth,35,CO2,biomass,ability_productivity_growth_survival,(Intercept),0.45314632950726746,0.10721704870499185,4.226439124938996,0.0022182470657410584,0.4854844470398802,0.0633553618902775,1
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,relative growth,growth,35,CO2,biomass,ability_productivity_growth_survival,treat_value,7.410928899375598e-4,1.7005924563960712e-4,4.357851213265396,0.0018291865937039842,6.595369520371753e-4,1.0737009396836386e-4,1
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,relative growth,growth,36,temperature,biomass,ability_productivity_growth_survival,(Intercept),-0.9439619437439921,0.2662945196468872,-3.5448042452984305,0.006266719671553995,-0.9881418062605599,0.24690197419555054,1
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,relative growth,growth,36,temperature,biomass,ability_productivity_growth_survival,treat_value,0.12793988784468446,0.019412139276037688,6.590715532451039,1.003423085813781e-4,0.13248648538638938,0.019834481251059875,1
Gutermtuh and Armstrong,1989,Dungeness crab,1+ juvenile,adult or juvenile,oxygen consumption,metabolic rate,37,temperature,rate,consumption,(Intercept),0.4017270427630003,0.011358536583710872,35.36785217024452,6.006182091967858e-117,0.39169261563547125,0.006063140000958012,1
Gutermtuh and Armstrong,1989,Dungeness crab,1+ juvenile,adult or juvenile,oxygen consumption,metabolic rate,37,temperature,rate,consumption,treat_value,0.03640180357588376,8.869526939137448e-4,41.041426251560374,5.260138562746394e-135,0.037284060356613885,5.579382640674678e-4,1
Gutermtuh and Armstrong,1989,Dungeness crab,1st juvenile,propagule,oxygen consumption,metabolic rate,38,temperature,rate,consumption,(Intercept),-0.1841900803533422,0.015305162027311707,-12.034507052238927,1.0935714550015364e-30,-0.17954825423843243,0.006370292271607831,1
Gutermtuh and Armstrong,1989,Dungeness crab,1st juvenile,propagule,oxygen consumption,metabolic rate,38,temperature,rate,consumption,treat_value,0.05906326654756284,0.0011951323650599473,49.41985362817971,4.91444584609963e-241,0.05853414699914483,7.026364513311574e-4,1
Hamilton et al,2017,blue & black rockfish,Juvenile,adult or juvenile,aerobic scope,metabolic rate,39,CO2,rate,consumption,(Intercept),0.9784104961060472,0.027701623690934214,35.31960823026584,2.762019395981214e-58,0.9716212070532916,0.023954759925867493,1
Hamilton et al,2017,blue & black rockfish,Juvenile,adult or juvenile,aerobic scope,metabolic rate,39,CO2,rate,consumption,treat_value,1.9051353094504255e-5,2.2706081372883298e-5,0.8390418752421236,0.4034470897134951,4.755730054106928e-6,2.10886822691398e-5,1
Hamilton et al,2017,blue & black rockfish,Juvenile,adult or juvenile,Lateralization,movement,40,CO2,information,ability_productivity_growth_survival,(Intercept),0.9819664043580957,0.11171102743029562,8.79023697970027,5.470644413322408e-14,1.0012492013637548,0.08202877757163402,1
Hamilton et al,2017,blue & black rockfish,Juvenile,adult or juvenile,Lateralization,movement,40,CO2,information,ability_productivity_growth_survival,treat_value,-5.85206140441131e-4,9.156574023893056e-5,-6.391103691338059,5.747372233397247e-9,-5.220890650958078e-4,7.364074812623596e-5,1
