Author,Pub_Year,English_Name,Life_stage,Life_stage_category,Response_variable,response_type,unique_study,common_name,species_order,treatment_var,rate_or_biomass,response_type_2,term,estimate,std.error,statistic,p.value,mean_estimate,se_estimate,replicate,change_in_2100,percentchange,SEpercentchange
Sullivan and Smith,1982,sablefish,Adult,adult or juvenile,respiration rate,metabolic rate,101,sablefish,7,oxygen,rate,consumption,treat_value,0.12371229418987142,0.020435836700284447,6.053693616965997,4.0745179164973246e-5,0.12371229418987142,0.020435836700284447,NA,-0.4615250140206569,-5.709631831050803,-0.9431649819622634
Taylor,1959,Razor Clam,Adult,adult or juvenile,instantaneous growth rate,growth,102,razor clam,6,temperature,biomass,ability_productivity_growth_survival,treat_value,0.06913935348167406,0.04597088503341753,1.5039813445274053,0.20702387896693072,0.06913935348167406,0.04597088503341753,NA,2.1520838590396547,14.879368665234791,9.893319966618549
Thom,1996,Canopy-forming Kelp,Adult,adult or juvenile,oxygen flux,metabolic rate,105,canopy-forming kelp,2,CO2,rate,consumption,treat_value,5.140737836824097e-4,1.0155913217505139e-4,5.061817412897263,4.536547388674778e-5,5.140737836824097e-4,1.0155913217505139e-4,NA,758.8649908409783,39.011259714573896,7.706966990783807
Thom,1996,seagrass,Adult,adult or juvenile,oxygen flux,metabolic rate,109,seagrass,1,CO2,rate,consumption,treat_value,5.867260529863983e-4,1.2039689313929823e-4,4.8732657271110895,6.388548278138593e-5,5.867260529863983e-4,1.2039689313929823e-4,NA,758.8649908409783,44.52458608256865,9.13649872094358
Zimmerman et al,1989,seagrass,Adult,adult or juvenile,net photosynthesis,metabolic rate,120,seagrass,1,temperature,rate,ability_productivity_growth_survival,treat_value,0.018236654886426635,0.008047090369650872,2.2662420885945442,0.10829990078023073,0.018236654886426635,0.008047090369650872,NA,2.1520838590396547,3.924681062395541,1.731801329675909
Zimmerman et al,1989,seagrass,Adult,adult or juvenile,respiration rate,metabolic rate,121,seagrass,1,oxygen,rate,consumption,treat_value,0.05579925714898438,0.004016677145151619,13.891894999909958,8.075019506099991e-4,0.05579925714898438,0.004016677145151619,NA,-0.4615250140206569,-2.5752752938027252,-0.1853796975732553
Bernatis et al,2007,Dungeness crab,1+ juvenile,adult or juvenile,food consumped,consumption,1,Dungeness crab,4,oxygen,rate,consumption,treat_value,0.09822453995493598,0.008028515969479767,12.234457816156121,3.1932309186351228e-24,0.09582554961162035,0.0020218850429841342,1,-0.4615250140206569,-4.4225888128040225,-0.0933150522811409
Boehlert and Yoklavich,1983,blue & black rockfish,NA,adult or juvenile,percent growth,growth,2,blue & black rockfish,9,temperature,biomass,ability_productivity_growth_survival,treat_value,0.0682026314777407,0.0020467758424329275,33.32198380682016,4.568198429529358e-39,0.06840576167989548,0.001323421948029921,1,2.1520838590396547,14.721493557661642,0.28481150130540095
Britsch,2017,Ochre star,Juvenile,adult or juvenile,growth_rate,growth,3,ochre star,3,pH,biomass,ability_productivity_growth_survival,treat_value,-0.03195815660224643,0.6183649658930528,-0.051681706378840425,0.9589598999130386,0.6773769419566624,0.9323847652343699,1,-0.30551501524865166,-20.694882675097475,-28.4857545768189
Brown and  Terwilliger,1999,Dungeness crab,1st juvenile,propagule,oxygen consumption,metabolic rate,4,Dungeness crab,4,salinity,rate,consumption,treat_value,-0.027608196130573626,0.006947059873896089,-3.9740835161523145,7.474696234726162e-4,-0.025357651306276558,0.005683097066163344,1,-3,7.6072953918829676,-1.704929119849003
Brown and  Terwilliger,1999,Dungeness crab,1st juvenile,propagule,oxygen consumption,metabolic rate,5,Dungeness crab,4,temperature,rate,consumption,treat_value,0.07879828660210521,0.0021104863314136044,37.336553868759765,5.682754639882176e-20,0.07554757092709403,0.0031776326683756106,1,2.1520838590396547,16.258470798185257,0.6838531975568259
Brown and  Terwilliger,1999,Dungeness crab,5th juvenile,adult or juvenile,oxygen consumption,metabolic rate,6,Dungeness crab,4,salinity,rate,consumption,treat_value,0.025315481672192525,0.010495606274860177,2.4120075590897465,0.03016673114845816,0.031151853304739772,0.011530728817185271,1,-3,-9.345555991421932,-3.4592186451555818
Brown and  Terwilliger,1999,Dungeness crab,5th juvenile,adult or juvenile,oxygen consumption,metabolic rate,7,Dungeness crab,4,temperature,rate,consumption,treat_value,0.045064909685653964,0.007946414585325965,5.671099739607329,1.0375795690263158e-4,0.03806912493718116,0.007115475767799885,1,2.1520838590396547,8.192794930507159,1.5313100549269927
Brown and  Terwilliger,1999,Dungeness crab,Adult,adult or juvenile,oxygen consumption,metabolic rate,8,Dungeness crab,4,salinity,rate,consumption,treat_value,0.006994950761471094,0.013892535323816709,0.5035042631476545,0.6325570241136989,0.02097548354726863,0.015586444585788301,1,-3,-6.292645064180588,-4.6759333757364905
Brown and  Terwilliger,1999,Dungeness crab,Adult,adult or juvenile,oxygen consumption,metabolic rate,9,Dungeness crab,4,temperature,rate,consumption,treat_value,0.04331644075121078,0.006063340651345972,7.143989302595949,3.791120428912888e-4,0.050950601002514424,0.008382631313795515,1,2.1520838590396547,10.964996602588094,1.8040125546699703
Brown and  Terwilliger,1999,Dungeness crab,megalopa,propagule,oxygen consumption,metabolic rate,10,Dungeness crab,4,salinity,rate,consumption,treat_value,-0.006334769779999561,0.0034882627263765,-1.8160242725122728,0.08606082776912206,-0.00538831124578741,0.0036377602740757515,1,-3,1.616493373736223,-1.0913280822227254
Brown and  Terwilliger,1999,Dungeness crab,megalopa,propagule,oxygen consumption,metabolic rate,11,Dungeness crab,4,temperature,rate,consumption,treat_value,0.03931173117629929,0.004426756611804962,8.880481721417784,8.564393257638657e-8,0.04100758608909366,0.0035303137473308337,1,2.1520838590396547,8.825176412051755,0.7597531232976484
Brown et al,2014,Canopy-forming Kelp,Adult,adult or juvenile,carbon uptake rate as photosynthesis,metabolic rate,12,canopy-forming kelp,2,CO2,rate,ability_productivity_growth_survival,treat_value,3.225558604441679e-4,2.5347243986739747e-4,1.2725480553740318,0.27211744923446557,2.894522743836437e-4,2.189103434391007e-4,1,758.8649908409783,21.96551975490441,16.612339576890854
Brown et al,2014,Canopy-forming Kelp,Adult,adult or juvenile,carbon uptake rate as photosynthesis,metabolic rate,13,canopy-forming kelp,2,temperature,rate,ability_productivity_growth_survival,treat_value,-0.0951458728335662,0.013528639204498346,-7.032922631415115,0.002153908122157349,-0.14522034669894865,0.03714089575510937,1,2.1520838590396547,-31.252636413495,7.993032226484531
Brown et al,2014,Canopy-forming Kelp,Adult,adult or juvenile,size at 4 weeks,growth,14,canopy-forming kelp,2,CO2,biomass,ability_productivity_growth_survival,treat_value,-4.217112560015446e-5,5.556696142830268e-5,-0.7589244492803032,0.4901600117821605,-5.04323885887359e-5,3.103977403743156e-5,1,758.8649908409783,-3.827137410447973,2.355499784062154
Brown et al,2014,Canopy-forming Kelp,Adult,adult or juvenile,size at 4 weeks,growth,15,canopy-forming kelp,2,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.11545557862540323,0.017722976740955854,-6.514457492831781,0.0028662757896229774,-0.14583127068591453,0.01738733154326244,1,2.1520838590396547,-31.384112378639944,3.7418995566026148
Christmas,2013,Dungeness crab,Larvae,propagule,feeding_rate,consumption,16,Dungeness crab,4,CO2,rate,consumption,treat_value,-3.790314196219378e-4,3.2262687281374956e-5,-11.748290411033125,2.0609406548222513e-20,-3.700384887975452e-4,2.8755512952963303e-5,1,758.8649908409783,-28.08092544121586,2.182155207367813
Christmas,2013,Dungeness crab,Larvae,propagule,swimming_speed,movement,17,Dungeness crab,4,CO2,rate,activity_speed,treat_value,8.364066302382815e-4,9.886657801387327e-5,8.459953272792696,1.189853892039876e-11,7.72419073904967e-4,7.693560846913717e-5,1,758.8649908409783,58.61617934442898,5.8383739816276865
Christmas,2013,Dungeness crab,Larvae,propagule,turning_frequency,movement,18,Dungeness crab,4,CO2,rate,activity_speed,treat_value,7.435005315766677e-4,5.143250792232521e-5,14.45584828761457,1.0165216346514571e-20,8.071052274327835e-4,3.208480431074038e-5,1,758.8649908409783,61.248390102348495,2.434803472940458
Cook et al,2017,sablefish,larvae,propagule,prey strike rate,consumption,20,sablefish,7,temperature,NA,ability_productivity_growth_survival,treat_value,0.10934096525078373,0.028050546714537803,3.897997652720095,0.005914113811214067,0.11339156731428363,0.015962668904067223,1,2.1520838590396547,24.402816176827827,3.4353002095637284
Cook et al,2017,sablefish,larvae,propagule,survival,survival,21,sablefish,7,temperature,NA,ability_productivity_growth_survival,treat_value,-0.014081546077333588,0.03081339343504137,-0.45699432965795583,0.6615190310265013,-0.01805317892321853,0.015815573608098512,1,2.1520838590396547,-3.885195496501349,3.403644068344236
Cook et al,2017,sablefish,larvae,propagule,weight-based specific growth rate,growth,22,sablefish,7,temperature,NA,ability_productivity_growth_survival,treat_value,0.04965211222407557,0.005798669176224855,8.562673729974867,5.891014138896115e-5,0.054168259055531597,0.0033380303206909274,1,2.1520838590396547,11.657463598568816,0.7183721174143908
Cullen et al.,2019,Canopy-forming Kelp,propagule,adult or juvenile,sporophyte_density,survival,23,canopy-forming kelp,2,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.1711097693949434,0.01593330742755317,-10.739124326381004,4.705935905881464e-11,-0.14808197960795236,0.016803981738925652,1,2.1520838590396547,-31.868483812891355,3.616357786793901
Davison et al,1991,Canopy-forming Kelp,Adult,adult or juvenile,photosynthesis,metabolic rate,24,canopy-forming kelp,2,temperature,rate,ability_productivity_growth_survival,treat_value,0.02217760605886469,0.0028257463209764152,7.848406594121084,1.5050739979050883e-8,0.021664963825564692,9.273187733765271e-4,1,2.1520838590396547,4.662481895567578,0.19956677643680754
Davison et al,1991,Canopy-forming Kelp,Adult,adult or juvenile,respiration rate,metabolic rate,25,canopy-forming kelp,2,temperature,rate,consumption,treat_value,0.01989806573541152,0.002696388698246766,7.379524231187274,4.902321197857058e-8,0.02231404921210485,0.0013469363505488074,1,2.1520838590396547,4.802170513918737,0.28987199791698665
Descoteaux,2014,Dungeness crab,Larvae,propagule,size,growth,26,Dungeness crab,4,pH,biomass,ability_productivity_growth_survival,treat_value,1.8634264591133567,0.6078069713623108,3.0658194902515805,0.037445269689518335,1.1515247680108496,0.7814549442069972,1,-0.30551501524865166,-35.18081070580348,-23.874621919553498
Eerkes-Medrano,2013,Ochre star,Brachiolaria larva,propagule,survival,survival,27,ochre star,3,oxygen,biomass,ability_productivity_growth_survival,treat_value,0.0018182001992570155,0.0010550285399913198,1.7233658904355085,0.1155441395697592,4.531803052711113e-4,0.0013263113793143158,1,-0.4615250140206569,-0.02091540467441352,-0.06121258779337963
Fly et al.,2012,Ochre star,adult,adult or juvenile,Oxygen consumption rate,metabolic rate,28,ochre star,3,temperature,rate,ability_productivity_growth_survival,treat_value,0.03537109829411913,0.0024924216747416136,14.191458312440654,1.6917703280494564e-30,0.035271204640788714,5.428853669306428e-4,1,2.1520838590396547,7.590659019632595,0.11683348354802567
Friedler,2014,Red urchin,gametes,propagule,fertilization success,survival,29,red urchin,5,CO2,biomass,ability_productivity_growth_survival,treat_value,-2.8663830378160765e-4,2.2591445085657933e-5,-12.687913619283194,1.3529950356283553e-11,-2.5314474901109497e-4,2.0275223123050277e-5,1,758.8649908409783,-19.210268763974632,1.538615700957234
Frommel et al,2020,Pink Salmon,juvenile,adult or juvenile,condition index fultons K,growth,30,pink salmon,10,CO2,biomass,ability_productivity_growth_survival,treat_value,-1.4297926531189013e-4,2.0813866520611452e-4,-0.6869423572516011,0.4941563881938008,-1.8864298792887023e-5,2.0661407668179366e-4,1,758.8649908409783,-1.4315455930685688,15.679218940874653
Gaitan-Espitia et al,2014,Canopy-forming Kelp,Spore,propagule,germination,survival,31,canopy-forming kelp,2,CO2,biomass,ability_productivity_growth_survival,treat_value,-1.0000090780827065e-4,1.1165239534183284e-5,-8.956449837203204,1.1620860544302763e-6,-1.2091169088776527e-4,1.0897303099087694e-5,1,758.8649908409783,-9.17556491981112,0.8269581816480548
Gaitan-Espitia et al,2014,Canopy-forming Kelp,Spore,propagule,germination,survival,32,canopy-forming kelp,2,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.054908594930774754,0.003473900986171872,-15.806033375545995,2.1329676898303144e-9,-0.051263759178890735,0.002665420096286857,1,2.1520838590396547,-11.03239086825867,0.5736207566778867
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,feeding_rate,consumption,33,ochre star,3,CO2,rate,consumption,treat_value,1.1330718060959659e-4,1.2865853930099321e-4,0.880681385201471,0.401395812773507,3.223771853004313e-4,1.2313171794873994e-4,1,758.8649908409783,24.464075977035215,9.344035001340446
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,feeding_rate,consumption,34,ochre star,3,temperature,rate,consumption,treat_value,0.03936008840439554,0.004692565450404324,8.387754804997801,1.513578344526824e-5,0.04201859747963567,0.005239567180914828,1,2.1520838590396547,9.042754541540823,1.1275987958400706
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,relative growth,growth,35,ochre star,3,CO2,biomass,ability_productivity_growth_survival,treat_value,8.240574985170271e-4,1.0358676801715207e-4,7.955239016440578,2.3148983006523067e-5,6.489329545869485e-4,1.324792483765448e-4,1,758.8649908409783,49.24525006390337,10.053386360588636
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,relative growth,growth,36,ochre star,3,temperature,biomass,ability_productivity_growth_survival,treat_value,0.131483159974163,0.02786726179958997,4.718194450525369,0.0010918569947748495,0.13712532331427574,0.01136954675529424,1,2.1520838590396547,29.510519497024685,2.4468218056665414
Gutermtuh and Armstrong,1989,Dungeness crab,1+ juvenile,adult or juvenile,oxygen consumption,metabolic rate,37,Dungeness crab,4,temperature,rate,consumption,treat_value,0.03695350920499995,8.298407997159851e-4,44.53084159955424,2.5513587408792196e-145,0.037373004803371065,6.40090329869619e-4,1,2.1520838590396547,8.042984040114636,0.13775280672397752
Gutermtuh and Armstrong,1989,Dungeness crab,1st juvenile,propagule,oxygen consumption,metabolic rate,38,Dungeness crab,4,temperature,rate,consumption,treat_value,0.05892158867882733,0.00119018138634787,49.506394029258956,1.763090050903503e-241,0.058789020307831,6.007854272630617e-4,1,2.1520838590396547,12.651890169323757,0.12929406207590777
Hamilton et al,2017,blue & black rockfish,Juvenile,adult or juvenile,aerobic scope,metabolic rate,39,blue & black rockfish,9,CO2,rate,consumption,treat_value,-3.0319487939486964e-5,2.0567725464116482e-5,-1.474129358269776,0.14358794268193711,1.1362457213464448e-5,2.0371641429018476e-5,1,758.8649908409783,0.8622570989226707,1.54593254864478
Hamilton et al,2017,blue & black rockfish,Juvenile,adult or juvenile,Lateralization,movement,40,blue & black rockfish,9,CO2,information,ability_productivity_growth_survival,treat_value,-5.210810451010196e-4,8.070357922002785e-5,-6.456727819721101,4.2472384797012655e-9,-5.508322755296216e-4,8.547191545660676e-5,1,758.8649908409783,-41.80073297247015,6.486164434013876
Hamilton et al,2017,blue & black rockfish,Juvenile,adult or juvenile,maximum swimming velocity,movement,41,blue & black rockfish,9,CO2,rate,ability_productivity_growth_survival,treat_value,5.2258082695692615e-06,6.2226430530980506e-6,0.8398052443274088,0.4032934051156163,2.4448906559751003e-6,5.759977748905019e-6,1,758.8649908409783,0.1855341925253738,0.43710454616670463
Hamilton et al,2017,copper & quillback rockfish,Juvenile,adult or juvenile,aerobic scope,metabolic rate,42,copper & quillback rockfish,8,CO2,rate,consumption,treat_value,-3.18563072094374e-4,1.9865733094871938e-5,-16.035807517045853,1.9615087254993116e-27,-3.119999158150103e-4,1.7029480698891498e-5,1,758.8649908409783,-23.67658132573438,1.2923076714590913
Hamilton et al,2017,copper & quillback rockfish,Juvenile,adult or juvenile,Lateralization,movement,43,copper & quillback rockfish,8,CO2,information,ability_productivity_growth_survival,treat_value,1.7832576712854947e-4,4.910241112216325e-5,3.6317110107869826,4.804927519611295e-4,1.296484037381413e-4,4.0914792662624254e-5,1,758.8649908409783,9.838563471529206,3.104880375918288
Hamilton et al,2017,copper & quillback rockfish,Juvenile,adult or juvenile,maximum swimming velocity,movement,44,copper & quillback rockfish,8,CO2,rate,ability_productivity_growth_survival,treat_value,-5.101408157112983e-5,6.887178630438213e-6,-7.4071088189393945,1.8194346296707295e-10,-4.551778965885307e-5,1.13301512592683e-5,1,758.8649908409783,-3.454185703256711,0.8598055131591537
Hans et al,2014,Dungeness crab,Adult,adult or juvenile,oxygen consumption,metabolic rate,45,Dungeness crab,4,pH,rate,consumption,treat_value,1.6010834880957154,0.11990097579980599,13.3533816335989,9.459018844974996e-7,1.5089906660105743,0.11715869703190476,1,-0.30551501524865166,-46.101930633629365,-3.5793741110214543
Held and Harley,2009,Ochre star,Adult,adult or juvenile,activity_coeff,movement,46,ochre star,3,salinity,rate,activity_speed,treat_value,-0.0016819977883727004,0.05078092784300502,-0.033122628116854944,0.9746511768275802,-0.0434101586641144,0.053150266535853266,1,-3,13.023047599234319,-15.945079960755981
Held and Harley,2009,Ochre star,Adult,adult or juvenile,feeding_rate,consumption,47,ochre star,3,salinity,rate,consumption,treat_value,0.05585049573875606,0.007149214125987737,7.81211679417138,2.3209104374493023e-4,0.05254181036296377,0.004727916027684742,1,-3,-15.762543108889131,-1.4183748083054226
Hollarsmith et al.,2020,Canopy-forming Kelp,egg,propagule,surviving_eggs_per_female,survival,48,canopy-forming kelp,2,CO2,biomass,ability_productivity_growth_survival,treat_value,-9.13032753855886e-5,1.2607963101524976e-4,-0.7241714989992726,0.47339562420747405,-1.0301798836207959e-4,2.5666345904647693e-5,1,758.8649908409783,-7.8176744794845545,1.9477291349851853
Hollarsmith et al.,2020,Canopy-forming Kelp,egg,propagule,surviving_eggs_per_female,survival,49,canopy-forming kelp,2,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.050022561457715595,0.008563853711076822,-5.841127504667025,9.403863062904692e-7,-0.05048575636790992,0.0015977297670512506,1,2.1520838590396547,-10.86495813907874,0.3438448442778184
Hollarsmith et al.,2020,Canopy-forming Kelp,gametophyte,propagule,gametophyte_density,survival,50,canopy-forming kelp,2,CO2,biomass,ability_productivity_growth_survival,treat_value,-1.2201119884382385e-4,8.71670450873423e-5,-1.399739990286092,0.16970249566173937,-1.08988892284223e-4,2.2970688293661804e-5,1,758.8649908409783,-8.270785474503525,1.7431651161580635
Hollarsmith et al.,2020,Canopy-forming Kelp,gametophyte,propagule,gametophyte_density,survival,51,canopy-forming kelp,2,temperature,biomass,ability_productivity_growth_survival,treat_value,0.009588525725231816,0.006302649703190186,1.5213483497866669,0.13645098123042454,0.004847211270655051,0.002340104198054369,1,2.1520838590396547,1.043160513693183,0.5036100473103743
Hollarsmith et al.,2020,Canopy-forming Kelp,sporophyte_embryo,propagule,surviving_sporophytes_per_female,survival,52,canopy-forming kelp,2,CO2,biomass,ability_productivity_growth_survival,treat_value,6.883346108887008e-4,1.0611661983543013e-4,6.4865862855054885,1.2273254267348667e-7,6.517664510695565e-4,3.1058882569135877e-05,1,758.8649908409783,49.46027419213559,2.356949863635832
Hollarsmith et al.,2020,Canopy-forming Kelp,sporophyte_embryo,propagule,surviving_sporophytes_per_female,survival,53,canopy-forming kelp,2,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.08009556455663566,0.007460318083140266,-10.736213076175044,4.570402112199329e-13,-0.0793352878812261,0.0014063411542759403,1,2.1520838590396547,-17.0736192501451,0.3026564098420448
Hull,2020,Ochre star,adult,adult or juvenile,consumption rate,consumption,54,ochre star,3,temperature,rate,consumption,treat_value,-0.05577067865516234,0.022532795131829653,-2.475089234552224,0.03840453004364587,-0.056502185100663856,0.018130593799301344,1,2.1520838590396547,-12.159744055560955,3.9018558270280868
Kim et al,2017,sablefish,Juvenile,adult or juvenile,feeding_efficiency,consumption,56,sablefish,7,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.016313605544848266,0.0054660965161659044,-2.984507407910015,0.004152517387504763,-0.01665464803492605,0.003282829812634667,1,2.1520838590396547,-3.5842199213950856,0.7064925051745241
Kim et al,2017,sablefish,Juvenile,adult or juvenile,growth_rate,growth,57,sablefish,7,temperature,biomass,ability_productivity_growth_survival,treat_value,-4.5311790091527475e-5,0.004646676267031196,-0.009751441135036848,0.992253063481817,-0.004179505654455486,0.003932628143871183,1,2.1520838590396547,-0.8994646657718621,0.846334555203025
Krieger et al,2019,sablefish,Juvenile,adult or juvenile,assimilation_rate,consumption,58,sablefish,7,temperature,rate,ability_productivity_growth_survival,treat_value,0.031124622941459654,0.001690782080262211,18.40841779955035,1.582387994607352e-20,0.031049298095682812,6.28691671950911e-4,1,2.1520838590396547,6.682069326622966,0.13529971995182094
Krieger et al,2019,sablefish,Juvenile,adult or juvenile,specific growth rate,growth,59,sablefish,7,temperature,rate,ability_productivity_growth_survival,treat_value,0.002987876264323412,0.006503389128991281,0.45943372064326277,0.6485403654566309,0.0022643082110334117,0.0010872477289207933,1,2.1520838590396547,0.48729811528559613,0.23398482881879612
Leeuwis et al,2019,sablefish,adult,adult or juvenile,oxygen consumption rate,metabolic rate,60,sablefish,7,oxygen,NA,ability_productivity_growth_survival,treat_value,0.03241609120158795,0.004420016644627602,7.333929667660582,5.489018713750635e-11,0.032825995149850906,0.002244296279546923,1,-0.4615250140206569,-1.5150017871776955,-0.10357988718844018
Leeuwis et al,2019,sablefish,adult,adult or juvenile,oxygen consumption rate,metabolic rate,61,sablefish,7,temperature,NA,ability_productivity_growth_survival,treat_value,0.03523963565322063,0.0015204397128128668,23.177265994996976,6.358285052358344e-56,0.036163531368292444,0.001453677241959558,1,2.1520838590396547,7.7826952143576404,0.31284353286744476
Leeuwis et al,2019,sablefish,Juvenile,adult or juvenile,oxygen consumption rate,metabolic rate,62,sablefish,7,oxygen,NA,ability_productivity_growth_survival,treat_value,0.06933366627602201,0.007170209200189256,9.669685268623956,2.631510950306498e-16,0.0727499868832843,0.004949022457561048,1,-0.4615250140206569,-3.3575938716310385,-0.22840976591144085
Leeuwis et al,2019,sablefish,Juvenile,adult or juvenile,oxygen consumption rate,metabolic rate,63,sablefish,7,temperature,NA,ability_productivity_growth_survival,treat_value,0.04502416215804603,0.0019797399176135167,22.74246316774808,3.801517896469527e-47,0.04700346941017225,0.0023508886554639992,1,2.1520838590396547,10.115540783649585,0.5059309529823508
Lind and Konar,2017,Canopy-forming Kelp,zoospore,propagule,germtube_length,growth,64,canopy-forming kelp,2,salinity,biomass,ability_productivity_growth_survival,treat_value,0.031436132676682736,0.0016561380203618165,18.981589873659736,6.140677165601241e-8,0.033135743485627644,0.0017026940153357646,1,-3,-9.940723045688294,-0.5108082046007293
Lind and Konar,2017,Canopy-forming Kelp,zoospore,propagule,germtube_length,growth,65,canopy-forming kelp,2,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.045189463012189054,0.008327757788821308,-5.426366154986968,3.7247600036728005e-5,-0.04612246617013367,6.287254617960558e-4,1,2.1520838590396547,-9.92594149838472,0.13530699180985448
Lind and Konar,2017,Canopy-forming Kelp,zoospore,propagule,zoospore_settlement,survival,66,canopy-forming kelp,2,salinity,biomass,ability_productivity_growth_survival,treat_value,0.01385314043706153,0.009753548019933818,1.4203180636163546,0.19329258611201572,0.012021031846229104,0.007725111217309269,1,-3,-3.6063095538687313,-2.317533365192781
Lind and Konar,2017,Canopy-forming Kelp,zoospore,propagule,zoospore_settlement,survival,67,canopy-forming kelp,2,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.0434108353277989,0.002751394140671573,-15.777759604155799,5.51620414322942e-12,-0.04133662652807953,0.002379679486280435,1,2.1520838590396547,-8.895988673823037,0.5121269812111903
Mattiasen et al,2020,blue & black rockfish,Juvenile,adult or juvenile,aerobic_scope,metabolic rate,69,blue & black rockfish,9,oxygen,rate,rate,treat_value,0.15740158575861338,0.008523183832759478,18.467463432341905,3.3222053489061346e-30,0.15689047368385198,0.003423195248259606,1,-0.4615250140206569,-7.240887806664728,-0.15798902349484606
Mattiasen et al,2020,blue & black rockfish,Juvenile,adult or juvenile,movement,survival,70,blue & black rockfish,9,oxygen,rate,ability_productivity_growth_survival,treat_value,0.012297450179430004,0.014331742115695257,0.858056897769782,0.393490061515425,0.0058026536658541735,0.008073846472466922,1,-0.4615250140206569,-0.26780698144903636,-0.37262821064059276
