X,English_Name,Genus,Species,treatment,Author,Pub_Year,Journal,thesis,Class,Order,Collection_Location,Study_Type,Distribution,Calcification,Life_stage,Life_stage_category,Extracted_from,Comments,Response_variable,rate_or_biomass,response_type,response_type_2,Effect.of.treatment,Study_Duration,Study_Duration_Units,citation.details,response,SE_response,LCI_response,UCI_response,unit_response,sample_size,pH,uatm,omega.ar,DIC._umol_kg.1,ppm.CO2,CO2,salinity,temperature,oxygen_in_orig_units,orig_oxygen_units,oxygen,unit_conversion_citation_to_ml_l.1,treatment_var,treatment_name_or_other_details,comments,extraction.method,study_design,study,lowerSE,upperSE,max_response,rel_response,rel_upperSE,rel_lowerSE,SE_response_for_resampling,treat_value,genus_species,unique_study,upper_window,lower_window,weighting
11,Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,NA,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Busch and McHany_2016,NA,hatching probability,biomass,survival,ability_productivity_growth_survival,no diff,34,Days,p6,0.77,NA,0.62,0.97,proportion of 593,6,8,466,NA,2058,NA,466,30.5,NA,NA,NA,NA,NA,CO2,control,NA,NA,multi-level anova,Miller et al 2016 Dungeness crab Fertilized Egg hatching probability CO2,0.693469387755102,0.872040816326531,0.77,1,1.13252054068381,0.900609594487146,0.132520540683806,466,Cancer_magister,78,3164.6961107168,298.027374647556,2
12,Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,NA,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Busch and McHany_2016,NA,hatching probability,biomass,survival,ability_productivity_growth_survival,no diff,34,Days,p6,0.59,NA,0.26,0.8,proportion of 593,6,7.5,1781,NA,2208,NA,1781,30.5,NA,NA,NA,NA,NA,CO2,medium,NA,NA,multi-level anova,Miller et al 2016 Dungeness crab Fertilized Egg hatching probability CO2,0.421632653061224,0.697142857142857,0.77,0.766233766233766,0.905380333951763,0.547574874105486,0.139146567717996,1781,Cancer_magister,78,3164.6961107168,298.027374647556,2
14,Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,NA,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Busch and McHany_2016,NA,hatching timing,biomass,growth,ability_productivity_growth_survival,negative,34,Days,Fig.3,1,NA,1,1,acceleration_factor_compared_to_control,6,8,466,NA,2058,NA,466,30.5,NA,NA,NA,NA,NA,CO2,control,NA,NA,multi-level anova,Miller et al 2016 Dungeness crab Fertilized Egg hatching timing CO2,1,1,1.24,0.806451612903226,0.806451612903226,0.806451612903226,0,466,Cancer_magister,79,3164.6961107168,298.027374647556,2
15,Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,NA,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Busch and McHany_2016,NA,hatching timing,biomass,growth,ability_productivity_growth_survival,negative,34,Days,Fig.3,0.93,NA,0.91,0.94,acceleration_factor_compared_to_control,6,7.5,1781,NA,2208,NA,1781,30.5,NA,NA,NA,NA,NA,CO2,medium,NA,NA,multi-level anova,Miller et al 2016 Dungeness crab Fertilized Egg hatching timing CO2,0.919795918367347,0.935102040816327,1.24,0.75,0.754114549045425,0.741770901909151,0.00411454904542463,1781,Cancer_magister,79,3164.6961107168,298.027374647556,2
20,Dungeness crab,Cancer,magister,pH,Roberts,2013,Evergreen thesis,thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,NA,swimming_speed,rate,movement,activity_speed,no diff,21,Days,Fig.3,0.23,0.14,NA,NA,cm s-1,30,8.2,400,NA,NA,NA,400,NA,12,NA,NA,NA,NA,CO2,control,NA,NA,multi-level anova,Roberts 2013 Dungeness crab Larvae swimming_speed CO2,0.09,0.37,0.23,1,1.60869565217391,0.391304347826087,0.608695652173913,400,Cancer_magister,90,3164.6961107168,298.027374647556,2
21,Dungeness crab,Cancer,magister,pH,Roberts,2013,Evergreen thesis,thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,NA,swimming_speed,rate,movement,activity_speed,no diff,21,Days,Fig.3,0.2,0.09,NA,NA,cm s-1,30,7.6,1600,NA,NA,NA,1600,NA,12,NA,NA,NA,NA,CO2,medium,NA,NA,multi-level anova,Roberts 2013 Dungeness crab Larvae swimming_speed CO2,0.11,0.29,0.23,0.869565217391304,1.26086956521739,0.478260869565217,0.391304347826087,1600,Cancer_magister,90,3164.6961107168,298.027374647556,2
23,Dungeness crab,Cancer,magister,pH,Roberts,2013,Evergreen thesis,thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,NA,larval_phototaxis,information,movement,ability_productivity_growth_survival,no diff,21,Days,Fig.5,80,12,NA,NA,percent,29,8.2,400,NA,NA,NA,400,NA,12,NA,NA,NA,NA,CO2,control,NA,NA,multi-level anova,Roberts 2013 Dungeness crab Larvae larval_phototaxis CO2,68,92,90,0.888888888888889,1.02222222222222,0.755555555555556,0.133333333333333,400,Cancer_magister,89,3164.6961107168,298.027374647556,2
24,Dungeness crab,Cancer,magister,pH,Roberts,2013,Evergreen thesis,thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Busch and McHany_2016,NA,larval_phototaxis,information,movement,ability_productivity_growth_survival,no diff,21,Days,Fig.5,90,12,NA,NA,percent,29,7.6,1600,NA,NA,NA,1600,NA,12,NA,NA,NA,NA,CO2,medium,NA,NA,multi-level anova,Roberts 2013 Dungeness crab Larvae larval_phototaxis CO2,78,102,90,1,1.13333333333333,0.866666666666667,0.133333333333333,1600,Cancer_magister,89,3164.6961107168,298.027374647556,2
26,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,oxygen consumption,rate,metabolic rate,consumption,positive,1,Days,Fig.5,2,0.5,NA,NA,umol g-1 h-1,8,NA,NA,NA,NA,NA,NA,31.6,15,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,NA,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile oxygen consumption temperature,1.5,2.5,9.5,0.210526315789474,0.263157894736842,0.157894736842105,0.0526315789473684,15,Cancer_magister,76,30.76565334532,8.73657409350077,4
27,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,oxygen consumption,rate,metabolic rate,consumption,positive,1,Days,Fig.5,3,0.3,NA,NA,umol g-1 h-1,8,NA,NA,NA,NA,NA,NA,31.6,20,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,NA,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile oxygen consumption temperature,2.7,3.3,9.5,0.315789473684211,0.347368421052632,0.284210526315789,0.031578947368421,20,Cancer_magister,76,30.76565334532,8.73657409350077,4
28,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,oxygen consumption,rate,metabolic rate,consumption,positive,1,Days,Fig.5,5.7,0.7,NA,NA,umol g-1 h-1,8,NA,NA,NA,NA,NA,NA,31.6,25,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,NA,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile oxygen consumption temperature,5,6.4,9.5,0.6,0.673684210526316,0.526315789473684,0.0736842105263158,25,Cancer_magister,76,30.76565334532,8.73657409350077,4
29,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,oxygen consumption,rate,metabolic rate,consumption,positive,1,Days,Fig.5,9.5,0.5,NA,NA,umol g-1 h-1,8,NA,NA,NA,NA,NA,NA,31.6,30,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,NA,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile oxygen consumption temperature,9,10,9.5,1,1.05263157894737,0.947368421052632,0.0526315789473684,30,Cancer_magister,76,30.76565334532,8.73657409350077,4
30,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,heart rate,rate,metabolic rate,consumption,unimodal,1,Days,Fig.8,134,6,NA,NA,bpm,10,NA,NA,NA,NA,NA,NA,31.6,12,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,webplotdigitizer,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature,128,140,326,0.411042944785276,0.429447852760736,0.392638036809816,0.0184049079754601,12,Cancer_magister,75,30.76565334532,8.73657409350077,8
31,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,heart rate,rate,metabolic rate,consumption,unimodal,1,Days,Fig.8,157,7,NA,NA,bpm,10,NA,NA,NA,NA,NA,NA,31.6,15,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,webplotdigitizer,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature,150,164,326,0.48159509202454,0.503067484662577,0.460122699386503,0.0214723926380368,15,Cancer_magister,75,30.76565334532,8.73657409350077,8
32,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,heart rate,rate,metabolic rate,consumption,unimodal,1,Days,Fig.8,174,11,NA,NA,bpm,10,NA,NA,NA,NA,NA,NA,31.6,18,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,webplotdigitizer,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature,163,185,326,0.533742331288344,0.567484662576687,0.5,0.0337423312883436,18,Cancer_magister,75,30.76565334532,8.73657409350077,8
33,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,heart rate,rate,metabolic rate,consumption,unimodal,1,Days,Fig.8,191,8,NA,NA,bpm,10,NA,NA,NA,NA,NA,NA,31.6,21,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,webplotdigitizer,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature,183,199,326,0.585889570552147,0.610429447852761,0.561349693251534,0.0245398773006136,21,Cancer_magister,75,30.76565334532,8.73657409350077,8
34,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,heart rate,rate,metabolic rate,consumption,unimodal,1,Days,Fig.8,227,18,NA,NA,bpm,10,NA,NA,NA,NA,NA,NA,31.6,24,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,webplotdigitizer,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature,209,245,326,0.696319018404908,0.751533742331288,0.641104294478528,0.0552147239263804,24,Cancer_magister,75,30.76565334532,8.73657409350077,8
35,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,heart rate,rate,metabolic rate,consumption,unimodal,1,Days,Fig.8,295,12,NA,NA,bpm,10,NA,NA,NA,NA,NA,NA,31.6,27,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,webplotdigitizer,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature,283,307,326,0.904907975460123,0.941717791411043,0.868098159509202,0.0368098159509203,27,Cancer_magister,75,30.76565334532,8.73657409350077,8
36,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,heart rate,rate,metabolic rate,consumption,unimodal,1,Days,Fig.8,322,13,NA,NA,bpm,10,NA,NA,NA,NA,NA,NA,31.6,29,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,webplotdigitizer,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature,309,335,326,0.987730061349693,1.02760736196319,0.947852760736196,0.039877300613497,29,Cancer_magister,75,30.76565334532,8.73657409350077,8
37,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,heart rate,rate,metabolic rate,consumption,unimodal,1,Days,Fig.8,326,17,NA,NA,bpm,10,NA,NA,NA,NA,NA,NA,31.6,30,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,webplotdigitizer,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature,309,343,326,1,1.0521472392638,0.947852760736196,0.0521472392638036,30,Cancer_magister,75,30.76565334532,8.73657409350077,8
38,Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,NA,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),NA,Makes CaCO3,Juvenile,adult or juvenile,google scholar,NA,heart rate,rate,metabolic rate,consumption,unimodal,1,Days,Fig.8,271,37,NA,NA,bpm,10,NA,NA,NA,NA,NA,NA,31.6,31,NA,NA,NA,NA,temperature,NA,low feeding condition_ summer collected,webplotdigitizer,multi-level anova,McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature,234,308,326,0.831288343558282,0.94478527607362,0.717791411042945,0.113496932515337,31,Cancer_magister,75,30.76565334532,8.73657409350077,8
43,Dungeness crab,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,NA,Malacostraca,Decapoda,NA,Single species lab study (one species in paper),NA,Makes CaCO3,megalopa,propagule,google scholar,NA,oxygen consumption,rate,metabolic rate,consumption,positive,1,Days,Table 1,0.99,0.106,NA,NA,ml g-1 h-1,10,NA,NA,NA,NA,NA,NA,32,10,NA,NA,NA,NA,salinity,NA,NA,NA,multi-level anova,Brown and  Terwilliger 1999 Dungeness crab megalopa oxygen consumption salinity,0.884,1.096,1.06,0.933962264150943,1.03396226415094,0.833962264150943,0.1,32,Cancer_magister,10,33.5,29,1
44,Dungeness crab,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,NA,Malacostraca,Decapoda,NA,Single species lab study (one species in paper),NA,Makes CaCO3,megalopa,propagule,google scholar,NA,oxygen consumption,rate,metabolic rate,consumption,positive,1,Days,Table 1,1.06,0.051,NA,NA,ml g-1 h-1,10,NA,NA,NA,NA,NA,NA,24,10,NA,NA,NA,NA,salinity,NA,NA,NA,multi-level anova,Brown and  Terwilliger 1999 Dungeness crab megalopa oxygen consumption salinity,1.009,1.111,1.06,1,1.04811320754717,0.95188679245283,0.0481132075471697,24,Cancer_magister,10,33.5,29,1
46,Dungeness crab,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,NA,Malacostraca,Decapoda,NA,Single species lab study (one species in paper),NA,Makes CaCO3,1st juvenile,propagule,google scholar,NA,oxygen consumption,rate,metabolic rate,consumption,positive,1,Days,Table 1,0.386,0.067,NA,NA,ml g-1 h-1,12,NA,NA,NA,NA,NA,NA,32,10,NA,NA,NA,NA,salinity,NA,NA,NA,multi-level anova,Brown and  Terwilliger 1999 Dungeness crab 1st juvenile oxygen consumption salinity,0.319,0.453,0.538,0.717472118959108,0.842007434944238,0.592936802973978,0.12453531598513,32,Cancer_magister,4,33.5,29,1
47,Dungeness crab,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,NA,Malacostraca,Decapoda,NA,Single species lab study (one species in paper),NA,Makes CaCO3,1st juvenile,propagule,google scholar,NA,oxygen consumption,rate,metabolic rate,consumption,positive,1,Days,Table 1,0.497,0.025,NA,NA,ml g-1 h-1,10,NA,NA,NA,NA,NA,NA,24,10,NA,NA,NA,NA,salinity,NA,NA,NA,multi-level anova,Brown and  Terwilliger 1999 Dungeness crab 1st juvenile oxygen consumption salinity,0.472,0.522,0.538,0.923791821561338,0.970260223048327,0.877323420074349,0.0464684014869889,24,Cancer_magister,4,33.5,29,1
49,Dungeness crab,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,NA,Malacostraca,Decapoda,NA,Single species lab study (one species in paper),NA,Makes CaCO3,5th juvenile,adult or juvenile,google scholar,NA,oxygen consumption,rate,metabolic rate,consumption,positive,1,Days,Table 1,0.102,0.026,NA,NA,ml g-1 h-1,8,NA,NA,NA,NA,NA,NA,32,10,NA,NA,NA,NA,salinity,NA,NA,NA,multi-level anova,Brown and  Terwilliger 1999 Dungeness crab 5th juvenile oxygen consumption salinity,0.076,0.128,0.102,1,1.25490196078431,0.745098039215686,0.254901960784314,32,Cancer_magister,6,33.5,29,1
50,Dungeness crab,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,NA,Malacostraca,Decapoda,NA,Single species lab study (one species in paper),NA,Makes CaCO3,5th juvenile,adult or juvenile,google scholar,NA,oxygen consumption,rate,metabolic rate,consumption,positive,1,Days,Table 1,0.082,0.013,NA,NA,ml g-1 h-1,8,NA,NA,NA,NA,NA,NA,24,10,NA,NA,NA,NA,salinity,NA,NA,NA,multi-level anova,Brown and  Terwilliger 1999 Dungeness crab 5th juvenile oxygen consumption salinity,0.069,0.095,0.102,0.803921568627451,0.931372549019608,0.676470588235294,0.127450980392157,24,Cancer_magister,6,33.5,29,1
