"","English_Name","Genus","Species","treatment","Author","Pub_Year","Journal","Class","Order","Collection_Location","Study_Type","Distribution","Calcification","Life_stage","Life_stage_category","Class.1","Order.1","Extracted_from","Comments","Response_variable","rate_or_biomass","response_type","response_type_2","Effect.of.treatment","Study_Duration","Study_Duration_Units","citation.details","response","SE_response","LCI_response","UCI_response","unit_response","sample_size","pH","uatm","omega.ar","DIC._umol_kg.1","ppm.CO2","CO2","salinity","temperature","oxygen_in_orig_units","orig_oxygen_units","oxygen","unit_conversion_citation","treatment_var","treatment_name_or_other_details","comments","extraction.method","study_design","study","lowerSE","upperSE","rec_lowerSE","rec_upperSE","recentered_response","max_response","log_rel_response","log_rel_upperSE","log_rel_lowerSE","log_SE_response_for_resampling","rel_response","rel_upperSE","rel_lowerSE","SE_response_for_resampling","treat_value"
"11","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","survival to hatch","biomass","survival","ability_productivity_growth_survival","positive",NA,"","Fig.4",3,NA,NA,NA,"percent",NA,NA,"",NA,NA,NA,NA,3,6,NA,"",NA,"","salinity","","","","regression","Alderice et al 1988 sablefish egg survival to hatch salinity",NA,NA,NA,NA,3,6.9,-0.832909122935104,NA,NA,0,0.434782608695652,NA,NA,0,3
"12","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","survival to hatch","biomass","survival","ability_productivity_growth_survival","positive",NA,"","Fig.4",6.9,NA,NA,NA,"percent",NA,NA,"",NA,NA,NA,NA,6.9,6,NA,"",NA,"","salinity","","","","regression","Alderice et al 1988 sablefish egg survival to hatch salinity",NA,NA,NA,NA,6.9,6.9,0,NA,NA,0,1,NA,NA,0,6.9
"13","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","survival to hatch","biomass","survival","ability_productivity_growth_survival","unsure",NA,"","Table 2",12,NA,NA,NA,"percent",NA,NA,"",NA,NA,NA,NA,NA,6.59,NA,"",NA,"","temperature","","","","regression","Alderice et al 1988 sablefish egg survival to hatch temperature",NA,NA,NA,NA,12,12.9,-0.0723206615796261,NA,NA,0,0.930232558139535,NA,NA,0,6.59
"14","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","survival to hatch","biomass","survival","ability_productivity_growth_survival","unsure",NA,"","Table 2",9.7,NA,NA,NA,"percent",NA,NA,"",NA,NA,NA,NA,NA,5.98,NA,"",NA,"","temperature","","","","regression","Alderice et al 1988 sablefish egg survival to hatch temperature",NA,NA,NA,NA,9.7,12.9,-0.285101425858289,NA,NA,0,0.751937984496124,NA,NA,0,5.98
"15","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","survival to hatch","biomass","survival","ability_productivity_growth_survival","unsure",NA,"","Table 2",7.2,NA,NA,NA,"percent",NA,NA,"",NA,NA,NA,NA,NA,5.91,NA,"",NA,"","temperature","","","","regression","Alderice et al 1988 sablefish egg survival to hatch temperature",NA,NA,NA,NA,7.2,12.9,-0.583146285345617,NA,NA,0,0.558139534883721,NA,NA,0,5.91
"16","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","survival to hatch","biomass","survival","ability_productivity_growth_survival","unsure",NA,"","Table 2",6.6,NA,NA,NA,"percent",NA,NA,"",NA,NA,NA,NA,NA,4.97,NA,"",NA,"","temperature","","","","regression","Alderice et al 1988 sablefish egg survival to hatch temperature",NA,NA,NA,NA,6.6,12.9,-0.670157662335247,NA,NA,0,0.511627906976744,NA,NA,0,4.97
"17","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","survival to hatch","biomass","survival","ability_productivity_growth_survival","unsure",NA,"","Table 2",12.9,NA,NA,NA,"percent",NA,NA,"",NA,NA,NA,NA,NA,4.85,NA,"",NA,"","temperature","","","","regression","Alderice et al 1988 sablefish egg survival to hatch temperature",NA,NA,NA,NA,12.9,12.9,0,NA,NA,0,1,NA,NA,0,4.85
"18","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","survival to hatch","biomass","survival","ability_productivity_growth_survival","unsure",NA,"","Table 2",10.6,NA,NA,NA,"percent",NA,NA,"",NA,NA,NA,NA,NA,4,NA,"",NA,"","temperature","","","","regression","Alderice et al 1988 sablefish egg survival to hatch temperature",NA,NA,NA,NA,10.6,12.9,-0.196373310249605,NA,NA,0,0.821705426356589,NA,NA,0,4
"19","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","survival to hatch","biomass","survival","ability_productivity_growth_survival","unsure",NA,"","Table 2",3,NA,NA,NA,"percent",NA,NA,"",NA,NA,NA,NA,NA,3.95,NA,"",NA,"","temperature","","","","regression","Alderice et al 1988 sablefish egg survival to hatch temperature",NA,NA,NA,NA,3,12.9,-1.45861502269952,NA,NA,0,0.232558139534884,NA,NA,0,3.95
"20","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","survival to hatch","biomass","survival","ability_productivity_growth_survival","unsure",NA,"","Table 2",3,NA,NA,NA,"percent",NA,NA,"",NA,NA,NA,NA,NA,2.64,NA,"",NA,"","temperature","","","","regression","Alderice et al 1988 sablefish egg survival to hatch temperature",NA,NA,NA,NA,3,12.9,-1.45861502269952,NA,NA,0,0.232558139534884,NA,NA,0,2.64
"21","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","survival to hatch","biomass","survival","ability_productivity_growth_survival","unsure",NA,"","Table 2",2.1,NA,NA,NA,"percent",NA,NA,"",NA,NA,NA,NA,NA,2.04,NA,"",NA,"","temperature","","","","regression","Alderice et al 1988 sablefish egg survival to hatch temperature",NA,NA,NA,NA,2.1,12.9,-1.81528996663825,NA,NA,0,0.162790697674419,NA,NA,0,2.04
"22","Dungeness crab","Cancer","magister","Hypoxia","Bernatis et al",2007,"Marine Biology","Behavioural responses of the Dungeness crab_ Cancer magister_ during feeding and digestion in hypoxic conditions","","Barkley Sound_ BC","Single species lab study (one species in paper)","","Makes CaCO3","1+ juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar","","food consumped","rate","consumption","consumption","unimodal",1,"Days","Fig.2a",1.949860724,0.557103064,NA,NA,"g",25,NA,"",NA,NA,NA,NA,31.5,11,1.5,"kPA",0.47128,"http://www.loligosystems.com/convert-oxygen-units; assume atm pressure of 1013.25; salinity of 30; temp of 12","oxygen","","","webplotdigitizer","multi-level anova","Bernatis et al 2007 Dungeness crab 1+ juvenile food consumped oxygen",1.39275766,2.506963788,1.39275766,2.506963788,1.949860724,17.89693593,-2.21687157466414,-1.96555714638323,-2.55334381128535,0.251314428280906,0.1089494163485,0.1400778210195,0.0778210116775,0.031128404671,0.47128
"23","Dungeness crab","Cancer","magister","Hypoxia","Bernatis et al",2007,"Marine Biology","Behavioural responses of the Dungeness crab_ Cancer magister_ during feeding and digestion in hypoxic conditions","","Barkley Sound_ BC","Single species lab study (one species in paper)","","Makes CaCO3","1+ juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar","","food consumped","rate","consumption","consumption","unimodal",1,"Days","Fig.2a",6.406685237,0.974930362,NA,NA,"g",25,NA,"",NA,NA,NA,NA,31.5,11,3.2,"kPA",1.00541,"http://www.loligosystems.com/convert-oxygen-units; assume atm pressure of 1013.25; salinity of 30; temp of 12","oxygen","","","webplotdigitizer","multi-level anova","Bernatis et al 2007 Dungeness crab 1+ juvenile food consumped oxygen",5.431754875,7.381615599,5.431754875,7.381615599,6.406685237,17.89693593,-1.02728750763422,-0.885636990591806,-1.19236725796565,0.141650517042412,0.357976653772376,0.412451361946626,0.303501945598126,0.05447470817425,1.00541
"24","Dungeness crab","Cancer","magister","Hypoxia","Bernatis et al",2007,"Marine Biology","Behavioural responses of the Dungeness crab_ Cancer magister_ during feeding and digestion in hypoxic conditions","","Barkley Sound_ BC","Single species lab study (one species in paper)","","Makes CaCO3","1+ juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar","","food consumped","rate","consumption","consumption","unimodal",1,"Days","Fig.2a",11.28133705,1.462395543,NA,NA,"g",25,NA,"",NA,NA,NA,NA,31.5,11,5.3,"kPA",1.6652,"http://www.loligosystems.com/convert-oxygen-units; assume atm pressure of 1013.25; salinity of 30; temp of 12","oxygen","","","webplotdigitizer","multi-level anova","Bernatis et al 2007 Dungeness crab 1+ juvenile food consumped oxygen",9.818941507,12.743732593,9.818941507,12.743732593,11.28133705,17.89693593,-0.461479749252392,-0.339589931684044,-0.6003161940538,0.121889817568349,0.630350194811252,0.712062257072627,0.548638132549877,0.081712062261375,1.6652
"25","Dungeness crab","Cancer","magister","Hypoxia","Bernatis et al",2007,"Marine Biology","Behavioural responses of the Dungeness crab_ Cancer magister_ during feeding and digestion in hypoxic conditions","","Barkley Sound_ BC","Single species lab study (one species in paper)","","Makes CaCO3","1+ juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar","","food consumped","rate","consumption","consumption","unimodal",1,"Days","Fig.2a",15.1810585,1.601671309,NA,NA,"g",25,NA,"",NA,NA,NA,NA,31.5,11,10.5,"kPA",3.29899,"http://www.loligosystems.com/convert-oxygen-units; assume atm pressure of 1013.25; salinity of 30; temp of 12","oxygen","","","webplotdigitizer","multi-level anova","Bernatis et al 2007 Dungeness crab 1+ juvenile food consumped oxygen",13.579387191,16.782729809,13.579387191,16.782729809,15.1810585,17.89693593,-0.164581021655026,-0.064279150991179,-0.276076525833751,0.100301870663847,0.848249027620003,0.937743191049128,0.758754864190878,0.089494163429125,3.29899
"26","Dungeness crab","Cancer","magister","Hypoxia","Bernatis et al",2007,"Marine Biology","Behavioural responses of the Dungeness crab_ Cancer magister_ during feeding and digestion in hypoxic conditions","","Barkley Sound_ BC","Single species lab study (one species in paper)","","Makes CaCO3","1+ juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar","","food consumped","rate","consumption","consumption","unimodal",1,"Days","Fig.2a",17.89693593,1.880222841,NA,NA,"g",25,NA,"",NA,NA,NA,NA,31.5,11,15.8,"kPA",4.96419,"http://www.loligosystems.com/convert-oxygen-units; assume atm pressure of 1013.25; salinity of 30; temp of 12","oxygen","","","webplotdigitizer","multi-level anova","Bernatis et al 2007 Dungeness crab 1+ juvenile food consumped oxygen",16.016713089,19.777158771,16.016713089,19.777158771,17.89693593,17.89693593,0,0.0998981532712982,-0.110996775978584,0.0998981532712982,1,1.10505836576462,0.894941634235375,0.105058365764625,4.96419
"27","Dungeness crab","Cancer","magister","Hypoxia","Bernatis et al",2007,"Marine Biology","Behavioural responses of the Dungeness crab_ Cancer magister_ during feeding and digestion in hypoxic conditions","","Barkley Sound_ BC","Single species lab study (one species in paper)","","Makes CaCO3","1+ juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar","","food consumped","rate","consumption","consumption","unimodal",1,"Days","Fig.2a",11.76880223,1.323119777,NA,NA,"g",25,NA,"",NA,NA,NA,NA,31.5,11,21,"kPA",6.59798,"http://www.loligosystems.com/convert-oxygen-units; assume atm pressure of 1013.25; salinity of 30; temp of 12","oxygen","","","webplotdigitizer","multi-level anova","Bernatis et al 2007 Dungeness crab 1+ juvenile food consumped oxygen",10.445682453,13.091922007,10.445682453,13.091922007,11.76880223,17.89693593,-0.41917736966136,-0.312634121780246,-0.538440790455889,0.106543247881114,0.657587548842502,0.731517509936127,0.583657587748877,0.0739299610936252,6.59798
"28","blue & black rockfish","Sebastes","melanops","temperature","Boehlert and Yoklavich",1983,"Environmental Biology of Fish","","","Yaquina Bay_ Oregon","Single species lab study (one species in paper)","","no external CaCO3","","adult or juvenile","","","google scholar","","percent growth","biomass","growth","ability_productivity_growth_survival","",57,"days","Table 1",0.376,0.052,NA,NA,"% mass",20,NA,"",NA,NA,NA,NA,27.8,7,NA,"",NA,"","temperature","","","","multi-level anova","Boehlert and Yoklavich 1983 blue & black rockfish  percent growth temperature",0.324,0.428,0.324,0.428,0.376,1.495,-1.38029234243489,-1.25075829024299,-1.52913797003246,0.129534052191902,0.251505016722408,0.28628762541806,0.216722408026756,0.0347826086956522,7
"29","blue & black rockfish","Sebastes","melanops","temperature","Boehlert and Yoklavich",1983,"Environmental Biology of Fish","","","Yaquina Bay Oregon","Single species lab study (one species in paper)","","no external CaCO3","","adult or juvenile","","","google scholar","","percent growth","biomass","growth","ability_productivity_growth_survival","",57,"days","Table 1",0.993,0.116,NA,NA,"% mass",19,NA,"",NA,NA,NA,NA,27.8,12,NA,"",NA,"","temperature","","","","multi-level anova","Boehlert and Yoklavich 1983 blue & black rockfish  percent growth temperature",0.877,1.109,0.877,1.109,0.993,1.495,-0.409150821779614,-0.29866749847442,-0.533374493452604,0.110483323305194,0.664214046822742,0.74180602006689,0.586622073578595,0.0775919732441471,12
"30","blue & black rockfish","Sebastes","melanops","temperature","Boehlert and Yoklavich",1983,"Environmental Biology of Fish","","","Yaquina Bay Oregon","Single species lab study (one species in paper)","","no external CaCO3","","adult or juvenile","","","google scholar","","percent growth","biomass","growth","ability_productivity_growth_survival","",57,"days","Table 1",1.495,0.112,NA,NA,"% mass",20,NA,"",NA,NA,NA,NA,27.8,18,NA,"",NA,"","temperature","","","","multi-level anova","Boehlert and Yoklavich 1983 blue & black rockfish  percent growth temperature",1.383,1.607,1.383,1.607,1.495,1.495,0,0.0722428799127258,-0.0778711541600287,0.0722428799127258,1,1.07491638795987,0.925083612040134,0.0749163879598662,18
"31","Ochre star","Pisaster","ochraceus","pH","Britsch",2017,"Thesis Oregon State University","Asteroidea","Forcipulatida","Yachats Beach_ Oregon","Single species lab study (one species in paper)","Prince William Sound_ Alaska to Baja","Makes CaCO3","Juvenile","adult or juvenile","Asteroidea","Forcipulatida","google scholar","","growth_rate","biomass","growth","ability_productivity_growth_survival","no diff",16,"Days","p.19",0.13,0.15,NA,NA,"g",30,7.57,"",NA,NA,NA,NA,NA,14,NA,"",NA,"","CO2","","not fed","","anova","Britsch 2017 Ochre star Juvenile growth_rate CO2",-0.02,0.28,0.01,0.28,0.13,0.18,-0.325422400434628,0.441832752279039,-2.89037175789616,0.767255152713667,0.722222222222222,1.55555555555556,0.0555555555555556,0.833333333333333,NA
"32","Ochre star","Pisaster","ochraceus","pH","Britsch",2017,"Thesis Oregon State University","Asteroidea","Forcipulatida","Yachats Beach_ Oregon","Single species lab study (one species in paper)","Prince William Sound_ Alaska to Baja","Makes CaCO3","Juvenile","adult or juvenile","Asteroidea","Forcipulatida","google scholar","","growth_rate","biomass","growth","ability_productivity_growth_survival","no diff",16,"Days","p.19",0.18,0.16,NA,NA,"g",30,7.91,"",NA,NA,NA,NA,NA,14,NA,"",NA,"","CO2","","not fed","","anova","Britsch 2017 Ochre star Juvenile growth_rate CO2",0.02,0.34,0.02,0.34,0.18,0.18,0,0.635988766719997,-2.19722457733622,0.635988766719997,1,1.88888888888889,0.111111111111111,0.888888888888889,NA
"33","Dungeness crab","Cancer","magister","temperature","Brown and  Terwilliger",1999,"Journal of Experimental Marine Biology and Ecology","Malacostraca","Decapoda","","Single species lab study (one species in paper)","","Makes CaCO3","1st juvenile","propagule","Malacostraca","Decapoda","google scholar","","oxygen consumption","rate","metabolic rate","consumption","positive",1,"Days","Table 1",0.386,0.067,NA,NA,"ml g-1 h-1",12,NA,"",NA,NA,NA,NA,32,10,NA,"",NA,"","salinity","","","","multi-level anova","Brown and  Terwilliger 1999 Dungeness crab 1st juvenile oxygen consumption salinity",0.319,0.453,0.319,0.453,0.386,0.538,-0.332021190696954,-0.17196643467875,-0.52266745737694,0.160054756018203,0.717472118959108,0.842007434944238,0.592936802973978,0.12453531598513,32
"34","Dungeness crab","Cancer","magister","temperature","Brown and  Terwilliger",1999,"Journal of Experimental Marine Biology and Ecology","Malacostraca","Decapoda","","Single species lab study (one species in paper)","","Makes CaCO3","1st juvenile","propagule","Malacostraca","Decapoda","google scholar","","oxygen consumption","rate","metabolic rate","consumption","positive",1,"Days","Table 1",0.497,0.025,NA,NA,"ml g-1 h-1",10,NA,"",NA,NA,NA,NA,24,10,NA,"",NA,"","salinity","","","","multi-level anova","Brown and  Terwilliger 1999 Dungeness crab 1st juvenile oxygen consumption salinity",0.472,0.522,0.472,0.522,0.497,0.538,-0.0792685340651558,-0.0301909722791457,-0.130879574576229,0.0490775617860101,0.923791821561338,0.970260223048327,0.877323420074349,0.0464684014869889,24
"35","Dungeness crab","Cancer","magister","temperature","Brown and  Terwilliger",1999,"Journal of Experimental Marine Biology and Ecology","Malacostraca","Decapoda","","Single species lab study (one species in paper)","","Makes CaCO3","1st juvenile","propagule","Malacostraca","Decapoda","google scholar","","oxygen consumption","rate","metabolic rate","consumption","positive",1,"Days","Table 1",0.538,0.038,NA,NA,"ml g-1 h-1",10,NA,"",NA,NA,NA,NA,16,10,NA,"",NA,"","salinity","","","","multi-level anova","Brown and  Terwilliger 1999 Dungeness crab 1st juvenile oxygen consumption salinity",0.5,0.576,0.5,0.576,0.538,0.538,0,0.0682491005341069,-0.0732504617395927,0.0682491005341069,1,1.07063197026022,0.929368029739777,0.0706319702602232,16
"36","Dungeness crab","Cancer","magister","temperature","Brown and  Terwilliger",1999,"Journal of Experimental Marine Biology and Ecology","Malacostraca","Decapoda","","Single species lab study (one species in paper)","","Makes CaCO3","1st juvenile","propagule","Malacostraca","Decapoda","google scholar","","oxygen consumption","rate","metabolic rate","consumption","positive",1,"Days","Table 1",0.386,0.067,NA,NA,"ml g-1 h-1",12,NA,"",NA,NA,NA,NA,32,10,NA,"",NA,"","temperature","","","","anova","Brown and  Terwilliger 1999 Dungeness crab 1st juvenile oxygen consumption temperature",0.319,0.453,0.319,0.453,0.386,1.582,-1.41060777886277,-1.25055302284457,-1.60125404554275,0.160054756018203,0.243994943109987,0.286346396965866,0.201643489254109,0.0423514538558787,10
"37","Dungeness crab","Cancer","magister","temperature","Brown and  Terwilliger",1999,"Journal of Experimental Marine Biology and Ecology","Malacostraca","Decapoda","","Single species lab study (one species in paper)","","Makes CaCO3","1st juvenile","propagule","Malacostraca","Decapoda","google scholar","","oxygen consumption","rate","metabolic rate","consumption","positive",1,"Days","Table 1",1.582,0.079,NA,NA,"ml g-1 h-1",10,NA,"",NA,NA,NA,NA,32,20,NA,"",NA,"","temperature","","","","anova","Brown and  Terwilliger 1999 Dungeness crab 1st juvenile oxygen consumption temperature",1.503,1.661,1.503,1.661,1.582,1.582,0,0.0487299612856956,-0.0512267585746247,0.0487299612856956,1,1.04993678887484,0.950063211125158,0.0499367888748419,20
"38","Dungeness crab","Cancer","magister","temperature","Brown and  Terwilliger",1999,"Journal of Experimental Marine Biology and Ecology","Malacostraca","Decapoda","","Single species lab study (one species in paper)","","Makes CaCO3","5th juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar","","oxygen consumption","rate","metabolic rate","consumption","positive",1,"Days","Table 1",0.102,0.026,NA,NA,"ml g-1 h-1",8,NA,"",NA,NA,NA,NA,32,10,NA,"",NA,"","salinity","","","","multi-level anova","Brown and  Terwilliger 1999 Dungeness crab 5th juvenile oxygen consumption salinity",0.076,0.128,0.076,0.128,0.102,0.102,0,0.227057450635346,-0.29423947299794,0.227057450635346,1,1.25490196078431,0.745098039215686,0.254901960784314,32
"39","Dungeness crab","Cancer","magister","temperature","Brown and  Terwilliger",1999,"Journal of Experimental Marine Biology and Ecology","Malacostraca","Decapoda","","Single species lab study (one species in paper)","","Makes CaCO3","5th juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar","","oxygen consumption","rate","metabolic rate","consumption","positive",1,"Days","Table 1",0.082,0.013,NA,NA,"ml g-1 h-1",8,NA,"",NA,NA,NA,NA,24,10,NA,"",NA,"","salinity","","","","multi-level anova","Brown and  Terwilliger 1999 Dungeness crab 5th juvenile oxygen consumption salinity",0.069,0.095,0.069,0.095,0.082,0.102,-0.218253566020018,-0.0710959216837302,-0.390866308687011,0.147157644336288,0.803921568627451,0.931372549019608,0.676470588235294,0.127450980392157,24
